,precision,recall,f1-score,support
0,0.9417444086853791,0.9065490196078432,0.9238116170799449,25500.0
1,0.9573221757322176,0.9869803921568627,0.9719250820621742,25500.0
2,0.9013698630136986,0.890235294117647,0.8957679786919207,25500.0
3,0.8926784202017092,0.9094117647058824,0.9009674035510316,25500.0
accuracy,0.9232941176470588,0.9232941176470588,0.9232941176470588,0.9232941176470588
macro avg,0.923278716908251,0.9232941176470588,0.9231180203462679,102000.0
weighted avg,0.923278716908251,0.9232941176470588,0.9231180203462678,102000.0
