variant,name,val_macro_f1,val_accuracy,cv_macro_f1_mean,cv_macro_f1_std,feature_dim,sparsity
char_enhanced,Char-enhanced: Word + Char TF-IDF,0.9245089353213514,0.9246666666666666,0.9198560168963604,0.0024476123686606624,100000,0.9941848393137255
baseline,"Baseline: TF-IDF word (1,2)-grams",0.9206797395938133,0.9208888888888889,0.9164815947212622,0.002514125906126806,50000,0.9990671766666667
augmented,Augmented: TF-IDF + doc features,0.920317056366805,0.9205,0.916848440143357,0.0027661202795950498,50012,0.9988474532778799
chi2_selected,Feature-selected: Chi2 top 20k,0.916983990788436,0.9172222222222223,0.9143423867754347,0.0025538787089184963,20000,0.9983086686274509
embedding_concat,Embedding: Concatenated pooling,0.8913206660211603,0.8915,0.8866616842905584,0.00296910988063075,300,0.0
svd_reduced,SVD 300 components,0.8865724389677112,0.8868888888888888,0.8856566278866673,0.0021982669465632912,300,0.0
embedding_tfidf,Embedding: TF-IDF weighted GloVe,0.8791682189840145,0.8794444444444445,0.8767221723249092,0.002019469507827402,100,0.0
